rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GENEID,SYMBOL
ENSG00000001036.13,34257.37683574129,2.818687611482891,0.14301766164136306,19.70853428748293,1.821672221801402e-86,2.9997476476403685e-84,ENSG00000001036,FUCA2
ENSG00000002079.12,266.5674642611284,2.162338557005359,0.43635028935163034,4.9614065881842455,6.998452473242747e-7,3.803821760664888e-6,ENSG00000002079,MYH16
ENSG00000002746.14,426.94246237348835,1.8162118792924042,0.4414523912956861,4.121752149691852,3.760016163954541e-5,1.5875945172266518e-4,ENSG00000002746,HECW1
ENSG00000002834.17,239793.77963564874,1.3667693375204188,0.13699503284908185,9.97687081915025,1.924401180321004e-23,3.981044502053514e-22,ENSG00000002834,LASP1
ENSG00000003096.13,26715.519065268567,-1.0206598456295672,0.19014979280636857,-5.3675120972940356,7.983015540989108e-8,4.883223783510959e-7,ENSG00000003096,KLHL13
ENSG00000003402.19,88258.76898999907,1.0297540456273133,0.15317790805670214,6.722672702497273,1.7842106434710167e-11,1.6286361788268976e-10,ENSG00000003402,CFLAR
ENSG00000003436.14,184835.83504735347,2.179982349310898,0.11406356632923671,19.112085490153298,2.0030183283314663e-81,3.082589047909743e-79,ENSG00000003436,TFPI
ENSG00000003989.16,28223.518997568914,-2.129276734519369,0.15231736653951272,-13.9788182651873,2.0994509400734359e-44,1.0786788964177619e-42,ENSG00000003989,SLC7A2
ENSG00000004660.14,15732.037659545114,-1.3931701930678673,0.16618181288388634,-8.383209126298407,5.1503851139497445e-17,7.205725715497913e-16,ENSG00000004660,CAMKK1
ENSG00000004799.7,177.33241879906743,1.4030751173947267,0.6265447318595919,2.3516284986419858,0.018691432397263202,0.04493311201251579,ENSG00000004799,PDK4
ENSG00000004848.7,20378.937654487792,-2.9558677284030352,0.2646270295279421,-11.16647987779343,5.949209736817347e-29,1.6219476280823055e-27,ENSG00000004848,ARX
ENSG00000005020.12,1098.325316777317,1.1438852326047881,0.23016562939316304,4.9696442261136875,6.707586222017096e-7,3.65741133503164e-6,ENSG00000005020,SKAP2
ENSG00000005102.12,947.7450450263241,-1.5643603678711802,0.46304873197445745,-3.372179688080876,7.457577627631083e-4,0.0025154430723924835,ENSG00000005102,MEOX1
ENSG00000005238.19,38438.410066799705,1.8954715773322737,0.14979669678430763,12.65376364562383,1.066411564293086e-36,4.0838602858637786e-35,ENSG00000005238,FAM214B
ENSG00000005243.9,10151.929142121437,3.402836925942168,0.2804912416653016,12.13636674188918,6.776893362210815e-34,2.341974879234533e-32,ENSG00000005243,COPZ2
ENSG00000005884.17,146832.53903196414,6.854656140368539,0.21328383724731062,32.1404724014792,1.2000638902334148e-226,1.7183871374324904e-223,ENSG00000005884,ITGA3
ENSG00000005961.17,242.0809531511715,-1.1855724461654886,0.4817654532556952,-2.456623541072827,0.014024957030220388,0.03505334558953315,ENSG00000005961,ITGA2B
ENSG00000006047.12,910.4910729344844,-2.0790215954771543,0.42785925353137455,-4.850813298131312,1.229562462313295e-6,6.457408728085802e-6,ENSG00000006047,YBX2
ENSG00000006059.3,100.25096827280741,3.07835987249713,0.627342919458508,6.130834373697236,8.741937740776455e-10,6.734666141631151e-9,ENSG00000006059,KRT33A
ENSG00000006116.3,2517.5430646878895,-2.579595879503384,0.5739058770037178,-4.483422308128593,7.345535411570104e-6,3.463886930765318e-5,ENSG00000006116,CACNG3
ENSG00000006210.6,1404.6541978209702,1.9288500428776476,0.3265585968560507,5.908458169603122,3.4532447245926336e-9,2.486970517378828e-8,ENSG00000006210,CX3CL1
ENSG00000006282.20,54362.60653756121,2.393298111368496,0.09398109566106616,25.465528722797494,4.751396241713851e-143,2.4074228280708303e-140,ENSG00000006282,SPATA20
ENSG00000006283.17,10268.383647506473,-2.608101051292254,0.2860581720786927,-9.113889002740901,7.948061446256224e-20,1.3300886975152565e-18,ENSG00000006283,CACNA1G
ENSG00000006327.13,170709.27691120995,2.01350045507871,0.13930393843962038,14.454201762988493,2.358481783138461e-47,1.3485110945465638e-45,ENSG00000006327,TNFRSF12A
ENSG00000006453.13,5477.355091335702,2.337276012796839,0.24283689934379837,9.625682858353988,6.229179081870458e-22,1.1770039235933545e-20,ENSG00000006453,BAIAP2L1
ENSG00000006459.10,14677.723342754984,-1.3035134517803804,0.14969752501376804,-8.707523413553306,3.1058608039950993e-18,4.694282685579376e-17,ENSG00000006459,KDM7A
ENSG00000006468.13,36970.973444702846,-1.4520225507346896,0.2533619400778968,-5.730292701635488,1.0025748253816446e-8,6.839022224341152e-8,ENSG00000006468,ETV1
ENSG00000006534.15,2393.111844597266,4.13306694132096,0.35879932548010884,11.524988254484521,9.872566492205872e-31,2.939811074632081e-29,ENSG00000006534,ALDH3B1
ENSG00000006606.8,366.55748399541056,1.0316964407554028,0.5146266963933377,2.0116431290797863,0.04425756955629772,0.0943294586957746,ENSG00000006606,CCL26
ENSG00000006638.11,1094.1575530070577,1.3558810468882523,0.3027583147317799,4.478983426650174,7.499935579732072e-6,3.5326498624556073e-5,ENSG00000006638,TBXA2R
ENSG00000006740.16,8562.480484405347,3.302325968394248,0.224262994553901,14.725282711978341,4.436106060942202e-49,2.695548284337094e-47,ENSG00000006740,ARHGAP44
ENSG00000006747.14,243.703888997722,-1.3812397856562177,0.6284177611485737,-2.192232421937738,0.02836272850147679,0.0648949632115907,ENSG00000006747,SCIN
ENSG00000006756.15,9695.620453267868,2.8653492368488167,0.2032755667207968,14.095903284171008,4.024649713792788e-45,2.1275732531950513e-43,ENSG00000006756,ARSD
